date,spr_kbbl
1988-11-11,556844
1988-11-18,557680
1988-11-25,558179
1988-12-02,558670
1988-12-09,558673
1988-12-16,559167
1988-12-23,559167
1988-12-30,559513
1989-01-06,559908
1989-01-13,560761
1989-01-20,561186
1989-01-27,561186
1989-02-03,561862
1989-02-10,562684
1989-02-17,563028
1989-02-24,563374
1989-03-03,563884
1989-03-10,564229
1989-03-17,565578
1989-03-24,565578
1989-03-31,565578
1989-04-07,566224
1989-04-14,566707
1989-04-21,566707
1989-04-28,567430
1989-05-05,568008
1989-05-12,568910
1989-05-19,568910
1989-05-26,569420
1989-06-02,570402
1989-06-09,570912
1989-06-16,570912
1989-06-23,570912
1989-06-30,571721
1989-07-07,572061
1989-07-14,572857
1989-07-21,573202
1989-07-28,574045
1989-08-04,574390
1989-08-11,574388
1989-08-18,574388
1989-08-25,574732
1989-09-01,575376
1989-09-08,575932
1989-09-15,576274
1989-09-22,576593
1989-09-29,577128
1989-10-06,577131
1989-10-13,577430
1989-10-20,577782
1989-10-27,577782
1989-11-03,578283
1989-11-10,578659
1989-11-17,579001
1989-11-24,579487
1989-12-01,579487
1989-12-08,579854
1989-12-15,579854
1989-12-22,579854
1989-12-29,579854
1990-01-05,579854
1990-01-12,580228
1990-01-19,580228
1990-01-26,580228
1990-02-02,580599
1990-02-09,580925
1990-02-16,580925
1990-02-23,580925
1990-03-02,580925
1990-03-09,581417
1990-03-16,581417
1990-03-23,581417
1990-03-30,581417
1990-04-06,582279
1990-04-13,582279
1990-04-20,582279
1990-04-27,582656
1990-05-04,583419
1990-05-11,584305
1990-05-18,585183
1990-05-25,586181
1990-06-01,586181
1990-06-08,586181
1990-06-15,586181
1990-06-22,586181
1990-06-29,586686
1990-07-06,586686
1990-07-13,586678
1990-07-20,586678
1990-07-27,586678
1990-08-03,586677
1990-08-10,586678
1990-08-17,587202
1990-08-24,588692
1990-08-31,589623
1990-09-07,589623
1990-09-14,589623
1990-09-21,589623
1990-09-28,589623
1990-10-05,589623
1990-10-12,589623
1990-10-19,589623
1990-10-26,589623
1990-11-02,589366
1990-11-09,588217
1990-11-16,587938
1990-11-23,587316
1990-11-30,586903
1990-12-07,586016
1990-12-14,585692
1990-12-21,585692
1990-12-28,585692
1991-01-04,585692
1991-01-11,585691
1991-01-18,585691
1991-01-25,585692
1991-02-01,585692
1991-02-08,584765
1991-02-15,583506
1991-02-22,583245
1991-03-01,581560
1991-03-08,577748
1991-03-15,574986
1991-03-22,572453
1991-03-29,571410
1991-04-05,568482
1991-04-12,568482
1991-04-19,568482
1991-04-26,568482
1991-05-03,568482
1991-05-10,568483
1991-05-17,568483
1991-05-24,568483
1991-05-31,568483
1991-06-07,568483
1991-06-14,568483
1991-06-21,568482
1991-06-28,568483
1991-07-05,568483
1991-07-12,568488
1991-07-19,568488
1991-07-26,568488
1991-08-02,568488
1991-08-09,568488
1991-08-16,568502
1991-08-23,568502
1991-08-30,568502
1991-09-06,568503
1991-09-13,568503
1991-09-20,568503
1991-09-27,568503
1991-10-04,568503
1991-10-11,568503
1991-10-18,568503
1991-10-25,568503
1991-11-01,568503
1991-11-08,568503
1991-11-15,568505
1991-11-22,568505
1991-11-29,568505
1991-12-06,568502
1991-12-13,568502
1991-12-20,568502
1991-12-27,568502
1992-01-03,568502
1992-01-10,568508
1992-01-17,568508
1992-01-24,568508
1992-01-31,568508
1992-02-07,568508
1992-02-14,568510
1992-02-21,568510
1992-02-28,568510
1992-03-06,568510
1992-03-13,568510
1992-03-20,568510
1992-03-27,568510
1992-04-03,568510
1992-04-10,568511
1992-04-17,568511
1992-04-24,568511
1992-05-01,568511
1992-05-08,568511
1992-05-15,568511
1992-05-22,568511
1992-05-29,568511
1992-06-05,568511
1992-06-12,568514
1992-06-19,568514
1992-06-26,569521
1992-07-03,569522
1992-07-10,569522
1992-07-17,569520
1992-07-24,569520
1992-07-31,569520
1992-08-07,569521
1992-08-14,569521
1992-08-21,569776
1992-08-28,570092
1992-09-04,570092
1992-09-11,570322
1992-09-18,570322
1992-09-25,570322
1992-10-02,571440
1992-10-09,571438
1992-10-16,573302
1992-10-23,573302
1992-10-30,573503
1992-11-06,573575
1992-11-13,573575
1992-11-20,573837
1992-11-27,573837
1992-12-04,573837
1992-12-11,574039
1992-12-18,574393
1992-12-25,574562
1993-01-01,574638
1993-01-08,574723
1993-01-15,574977
1993-01-22,575145
1993-01-29,575247
1993-02-05,575313
1993-02-12,575311
1993-02-19,575582
1993-02-26,575721
1993-03-05,575806
1993-03-12,576017
1993-03-19,576834
1993-03-26,577378
1993-04-02,577606
1993-04-09,578593
1993-04-16,578593
1993-04-23,579840
1993-04-30,581485
1993-05-07,581689
1993-05-14,581702
1993-05-21,581954
1993-05-28,582037
1993-06-04,582121
1993-06-11,582119
1993-06-18,582425
1993-06-25,582425
1993-07-02,582526
1993-07-09,582754
1993-07-16,582939
1993-07-23,582939
1993-07-30,582939
1993-08-06,583332
1993-08-13,583587
1993-08-20,583753
1993-08-27,583837
1993-09-03,584087
1993-09-10,584087
1993-09-17,585183
1993-09-24,585508
1993-10-01,585587
1993-10-08,585658
1993-10-15,585910
1993-10-22,585993
1993-10-29,586079
1993-11-05,586079
1993-11-12,586248
1993-11-19,586568
1993-11-26,586627
1993-12-03,586793
1993-12-10,586794
1993-12-17,586884
1993-12-24,586884
1993-12-31,587018
1994-01-07,587080
1994-01-14,587080
1994-01-21,587146
1994-01-28,587164
1994-02-04,587192
1994-02-11,587192
1994-02-18,587192
1994-02-25,587192
1994-03-04,587193
1994-03-11,587193
1994-03-18,589169
1994-03-25,589169
1994-04-01,589169
1994-04-08,590256
1994-04-15,591179
1994-04-22,591179
1994-04-29,591179
1994-05-06,591179
1994-05-13,591173
1994-05-20,591173
1994-05-27,591173
1994-06-03,591173
1994-06-10,591178
1994-06-17,591178
1994-06-24,591178
1994-07-01,591178
1994-07-08,591669
1994-07-15,591669
1994-07-22,591670
1994-07-29,591670
1994-08-05,591673
1994-08-12,591672
1994-08-19,591673
1994-08-26,591673
1994-09-02,591673
1994-09-09,591675
1994-09-16,591675
1994-09-23,591675
1994-09-30,591675
1994-10-07,591675
1994-10-14,591676
1994-10-21,591676
1994-10-28,591676
1994-11-04,591676
1994-11-11,591674
1994-11-18,591674
1994-11-25,591674
1994-12-02,591674
1994-12-09,591673
1994-12-16,591673
1994-12-23,591673
1994-12-30,591673
1995-01-06,591673
1995-01-13,591670
1995-01-20,591670
1995-01-27,591670
1995-02-03,591670
1995-02-10,591671
1995-02-17,591671
1995-02-24,591671
1995-03-03,591671
1995-03-10,591673
1995-03-17,591673
1995-03-24,591673
1995-03-31,591673
1995-04-07,591672
1995-04-14,591672
1995-04-21,591673
1995-04-28,591672
1995-05-05,591672
1995-05-12,591671
1995-05-19,591671
1995-05-26,591671
1995-06-02,591671
1995-06-09,591669
1995-06-16,591669
1995-06-23,591669
1995-06-30,591669
1995-07-07,591669
1995-07-14,591669
1995-07-21,591672
1995-07-28,591672
1995-08-04,591700
1995-08-11,591670
1995-08-18,591670
1995-08-25,591670
1995-09-01,591670
1995-09-08,591670
1995-09-15,591673
1995-09-22,591673
1995-09-29,591673
1995-10-06,591673
1995-10-13,591673
1995-10-20,591668
1995-10-27,591668
1995-11-03,591668
1995-11-10,591663
1995-11-17,591663
1995-11-24,591663
1995-12-01,591663
1995-12-08,591663
1995-12-15,591651
1995-12-22,591648
1995-12-29,591648
1996-01-05,591648
1996-01-12,591640
1996-01-19,591640
1996-01-26,591640
1996-02-02,591640
1996-02-09,591640
1996-02-16,591630
1996-02-23,591630
1996-03-01,591630
1996-03-08,591630
1996-03-15,591617
1996-03-22,591617
1996-03-29,589122
1996-04-05,589129
1996-04-12,587644
1996-04-19,586994
1996-04-26,586493
1996-05-03,586493
1996-05-10,586493
1996-05-17,586485
1996-05-24,586485
1996-05-31,585815
1996-06-07,585803
1996-06-14,585803
1996-06-21,584469
1996-06-28,584469
1996-07-05,584465
1996-07-12,583984
1996-07-19,583583
1996-07-26,583114
1996-08-02,582912
1996-08-09,581389
1996-08-16,580868
1996-08-23,580295
1996-08-30,578649
1996-09-06,577575
1996-09-13,576244
1996-09-20,575720
1996-09-27,573665
1996-10-04,573665
1996-10-11,573659
1996-10-18,573659
1996-10-25,573659
1996-11-01,573659
1996-11-08,573621
1996-11-15,573390
1996-11-22,572063
1996-11-29,571119
1996-12-06,570100
1996-12-13,569820
1996-12-20,568094
1996-12-27,567467
1997-01-03,566762
1997-01-10,565816
1997-01-17,565188
1997-01-24,564783
1997-01-31,563793
1997-02-07,563484
1997-02-14,563482
1997-02-21,563482
1997-02-28,563482
1997-03-07,563482
1997-03-14,563474
1997-03-21,563474
1997-03-28,563474
1997-04-04,563474
1997-04-11,563469
1997-04-18,563479
1997-04-25,563479
1997-05-02,563469
1997-05-09,563463
1997-05-16,563463
1997-05-23,563463
1997-05-30,563463
1997-06-06,563463
1997-06-13,563459
1997-06-20,563459
1997-06-27,563459
1997-07-04,563459
1997-07-11,563455
1997-07-18,563455
1997-07-25,563455
1997-08-01,563455
1997-08-08,563452
1997-08-15,563452
1997-08-22,563452
1997-08-29,563452
1997-09-05,563452
1997-09-12,563449
1997-09-19,563449
