date,close
1985-01,1280.8
1985-02,1259.7
1985-03,1291.0
1985-04,1313.0
1985-05,1234.9
1985-06,1261.7
1985-07,1340.8
1985-08,1290.0
1985-09,1377.2
1985-11,1439.1
1985-12,1412.6
1986-01,1435.0
1986-02,1543.9
1986-03,1660.5
1986-04,1602.8
1986-05,1649.8
1986-06,1558.1
1986-07,1661.2
1986-08,1555.8
1986-09,1632.1
1986-11,1636.7
1986-12,1679.0
1987-01,1808.3
1987-02,1979.2
1987-03,2050.5
1987-04,2203.0
1987-05,2284.1001
1987-06,2360.8999
1987-07,2249.7
1987-08,2366.0
1987-09,1749.8
1987-11,1579.9
1987-12,1713.9
1988-01,1790.8
1988-02,1768.8
1988-03,1802.2
1988-04,1784.5
1988-05,1857.6
1988-06,1853.6
1988-07,1753.6
1988-08,1826.5
1988-09,1852.4
1988-11,1792.4
1988-12,1793.1
1989-01,2051.8
1989-02,2002.4
1989-03,2118.0
1989-04,2114.3999
1989-05,2151.0
1989-06,2297.0
1989-07,2387.8999
1989-08,2299.3999
1989-09,2142.6001
1989-11,2276.8
1989-12,2422.7
1990-01,2337.3
1990-02,2255.3999
1990-03,2103.3999
1990-04,2345.1001
1990-05,2374.6001
1990-06,2326.2
1990-07,2162.8
1990-08,1990.2
1990-09,2050.3
1990-11,2149.3999
1990-12,2143.5
1991-01,2170.3
1991-02,2380.8999
1991-03,2486.2
1991-04,2499.5
1991-05,2414.8
1991-06,2588.8
1991-07,2645.7
1991-08,2621.7
1991-09,2566.0
1991-11,2420.2
1991-12,2493.1001
1992-01,2571.2
1992-02,2562.1001
1992-03,2654.1001
1992-04,2707.6001
1992-05,2521.2
1992-06,2399.6001
1992-07,2312.6001
1992-08,2553.0
1992-09,2658.3
1992-11,2778.8
1992-12,2846.5
1993-01,2807.2
1993-02,2868.0
1993-03,2813.1001
1993-04,2840.7
1993-05,2900.0
1993-06,2926.5
1993-07,3100.0
1993-08,3037.5
1993-09,3171.0
1993-11,3166.8999
1993-12,3418.3999
1994-01,3491.8
1994-02,3328.1001
1994-03,3125.3
1994-04,2970.5
1994-05,2919.2
1994-06,3082.6001
1994-07,3251.3
1994-08,3026.3
1994-09,3097.3999
1994-11,3081.3999
1994-12,3065.5
1995-01,2991.6001
1995-02,3009.3
1995-03,3216.7
1995-04,3319.3999
1995-05,3314.6001
1995-06,3463.3
1995-07,3477.8
1995-08,3508.2
1995-09,3529.1001
1995-11,3664.3
1995-12,3689.3
1996-01,3759.3
1996-02,3727.6001
1996-03,3817.8999
1996-04,3747.8
1996-05,3711.0
1996-06,3703.2
1996-07,3867.6001
1996-08,3953.7
1996-09,3979.1001
1996-11,4058.0
1996-12,4118.5
1997-01,4275.7998
1997-02,4308.2998
1997-03,4436.0
1997-04,4621.2998
1997-05,4604.6001
1997-06,4907.5
1997-07,4817.5
1997-08,5244.2002
1997-09,4842.2998
1997-11,4831.7998
1997-12,5135.5
1998-01,5458.5
1998-02,5767.2998
1998-03,5928.3999
1998-04,5870.7002
1998-05,5832.6001
1998-06,5837.1001
1998-07,5249.3999
1998-08,5064.3999
1998-09,5438.3999
1998-11,5743.8999
1998-12,5882.6001
1999-01,5896.0
1999-02,6175.1001
1999-03,6552.2002
1999-04,6226.2002
1999-05,6318.5
1999-06,6231.8999
1999-07,6246.3999
1999-08,6029.7998
1999-09,6255.7002
1999-11,6597.2002
1999-12,6930.2002
2000-01,6268.5
2000-02,6232.6001
2000-03,6327.3999
2000-04,6359.3999
2000-05,6312.7002
2000-06,6365.2998
2000-07,6672.7002
2000-08,6294.2002
2000-09,6438.3999
2000-11,6142.2002
2000-12,6222.5
2001-01,6297.5
2001-02,5917.8999
2001-03,5967.0
2001-04,5796.2002
2001-05,5642.5
2001-06,5529.1001
2001-07,5345.0
2001-08,4903.3999
2001-09,5039.7002
2001-11,5203.6001
2001-12,5217.3999
2002-01,5164.7998
2002-02,5101.0
2002-03,5165.6001
2002-04,5085.1001
2002-05,4656.3999
2002-06,4246.2002
2002-07,4227.2998
2002-08,3721.8
2002-09,4039.7
2002-11,4169.3999
2002-12,3940.3999
2003-01,3567.3999
2003-02,3655.6001
2003-03,3926.0
2003-04,4048.1001
2003-05,4031.2
2003-06,4157.0
2003-07,4161.1001
2003-08,4091.3
2003-09,4287.6001
2003-11,4342.6001
2003-12,4476.8999
2004-01,4390.7002
2004-02,4492.2002
2004-03,4489.7002
2004-04,4430.7002
2004-05,4464.1001
2004-06,4413.1001
2004-07,4459.2998
2004-08,4570.7998
2004-09,4624.2002
2004-11,4703.2002
2004-12,4814.2998
2005-01,4852.2998
2005-02,4968.5
2005-03,4801.7002
2005-04,4964.0
2005-05,5113.2002
2005-06,5282.2998
2005-07,5296.8999
2005-08,5477.7002
2005-09,5317.2998
2005-11,5423.2002
2005-12,5618.7998
2006-01,5760.2998
2006-02,5791.5
2006-03,6023.1001
2006-04,5723.7998
2006-05,5833.3999
2006-06,5928.2998
2006-07,5906.1001
2006-08,5960.7998
2006-09,6129.2002
2006-11,6048.8999
2006-12,6220.7998
2007-01,6203.1001
2007-02,6171.5
2007-03,6449.2002
2007-04,6621.5
2007-05,6607.8999
2007-06,6360.1001
2007-07,6303.2998
2007-08,6466.7998
2007-09,6721.6001
2007-11,6432.5
2007-12,6456.8999
2008-01,5879.7998
2008-02,5884.2998
2008-03,6087.2998
2008-04,6053.5
2008-05,5625.8999
2008-06,5411.8999
2008-07,5636.6001
